Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
CG8086,10.11025,10.36606,1.93257333333333,10.51155,0.975322352434546,-0.0360489740787336,0.183852443215405,-2.44337974624211,Adult_CO,1,0.0109640890010079,0.157974269987836,Ambiguous
CG8089,5.03409,5.47464,2.88196666666667,23.88031,0.919528970027441,-0.121033067007587,0.12068384145695,-3.05069557049688,Adult_CO,1,1,1,Conserved
CG8093,45.9433,225.602333333333,5.77381666666667,42.0753666666667,0.203647276681621,-2.29585557317648,0.137225602219535,-2.86537842424146,Adult_CO,0.0258539601954653,1,1,Ambiguous
CG8152,10.3121233333333,23.0932666666667,7.35530666666667,39.0905,0.446542450474347,-1.16313076348778,0.188160997646632,-2.40996048028054,Adult_CO,0.383264017538914,1,1,Conserved
CG8155,6.74363333333333,8.89592666666667,1.99335333333333,1.37303333333333,0.758058584334263,-0.399618747727781,1.45178768290086,0.537830481416971,Adult_CO,1,0.180991483138711,0.336059038280447,Conserved
CG8173,30.1803333333333,54.9640666666667,147.155333333333,78.4272666666667,0.549092081691698,-0.864879988169907,1.87632871463502,0.907912596206539,Adult_CO,1,0.494736578261393,0.705226505571939,Conserved
CG8180,48.0979666666667,86.1271333333333,22.6661333333333,141.375,0.558453129074464,-0.840491894374732,0.160326324831172,-2.64091676618061,Adult_CO,1,0.0072560425911005,0.0846067129103655,Ambiguous
CG8187,10.7285,24.9893333333333,7.60522333333333,59.2336,0.429323200726048,-1.21986395641797,0.128393752953384,-2.96135308559245,Adult_CO,1.1865835976049e-05,0.950490446566291,1,Ambiguous
CG8188,29.067,59.685,6.94282666666667,9.30813333333333,0.487006794219539,-1.03798619543711,0.745888211110547,-0.422968669985177,Adult_CO,0.191872783422921,1,1,Conserved
CG8195,18.9715333333333,32.5341666666667,1.548914,6.53063666666667,0.583126469615231,-0.778119282989102,0.237176686115337,-2.07596589140666,Adult_CO,0.231595176577294,1,1,Conserved
CG8204,31.8946666666667,63.1366,3.20208,29.1266666666667,0.505169222946713,-0.985161348190042,0.109936400437066,-3.18525894667893,Adult_CO,1,1,1,Conserved
CG8207,12.9889,35.3686333333333,4.66876,68.752,0.367243498224599,-1.44519114573184,0.0679072744370015,-3.88029006107718,Adult_CO,2.10693813557759e-08,0.0035250227450019,0.332610364771911,Only_Cis
CG8230,18.1760666666667,27.6424,3.79591,21.1643333333333,0.657543013961293,-0.60484282177692,0.17935414080194,-2.47911704128157,Adult_CO,0.0187919810793347,5.81194125506146e-05,0.00241483489035202,Compensating
CG8237,15.4166333333333,32.5428666666667,2.10611,19.2895933333333,0.473733123068452,-1.07785354727467,0.109183789125132,-3.19516942438869,Adult_CO,0.000505544632196553,0.0997838578837549,0.183983211881572,Ambiguous
CG8243,25.5446666666667,35.2455666666667,22.8417666666667,56.3721666666667,0.724762554777219,-0.464419675144392,0.405195837096986,-1.30330874263968,Adult_CO,0.83000177681719,0.714614175133695,1,Conserved
CG8245,6.55827666666667,30.3157333333333,2.20745333333333,33.3714366666667,0.216332469289902,-2.20867787957361,0.0661480142205041,-3.91815834267716,Adult_CO,1.3261825267026e-05,0.829640260557818,1,Ambiguous
CG8248,1.84538,2.77364,0.213966666666667,16.3216666666667,0.665327993060385,-0.587862359829879,0.0131094242963694,-6.25325185913572,Adult_CO,1,0.890883868930063,1,Conserved
CG8249,1.93779666666667,11.9137166666667,0.303560333333333,5.99003333333333,0.162652643019099,-2.62013382928934,0.0506777284470768,-4.30250433048115,Adult_CO,4.09200764666576e-07,1,1,Ambiguous
CG8258,208.829333333333,249.479,19.5384,195.771333333333,0.837061770715257,-0.25659400494766,0.0998021547257405,-3.3247852261302,Adult_CO,1,7.46075669005297e-07,1.62906931885432e-06,Compensating
CG8270,6.84889,11.4834733333333,6.59661333333333,68.0472,0.596412792957578,-0.745616891359715,0.096941743912925,-3.36673815398076,Adult_CO,0.654012116966402,0.0094374905912932,0.0792374377591901,Ambiguous
CG8272,5.52128333333333,15.5582,3.90356,43.1849333333333,0.354879354838862,-1.49459944705356,0.0903917317523149,-3.46766537626563,Adult_CO,4.03896255417498e-05,0.733947014476262,1,Ambiguous
CG8289,14.6932333333333,23.3559666666667,6.44583333333333,17.7751866666667,0.629099789100296,-0.668639216381372,0.362631014322343,-1.46342577682241,Adult_CO,0.500155789905032,1,1,Conserved
CG8298,12.8745666666667,21.4212333333333,2.45499,21.5321566666667,0.601018945329061,-0.734517626577367,0.114015094910832,-3.13270325373119,Adult_CO,1,0.64816505750453,0.911931390671182,Conserved
CG8299,108.5034,63.8641,60.3802,272.564333333333,1.6989732776478,0.764663161228322,0.221526419249548,-2.17444932997875,Adult_CO,0.231992359069806,0.139717862052909,0.0278748856702554,Ambiguous
CG8300,14.3589333333333,41.0555,1.56705333333333,33.8879666666667,0.349744467454759,-1.51562685905191,0.046242204570879,-4.43464601062864,Adult_CO,2.21202700149072e-10,0.239580347250546,0.536713462624351,Ambiguous
CG8306,8.68326666666667,18.23263,6.62979666666667,56.575,0.476248746912427,-1.07021279824068,0.11718599292056,-3.09312795816228,Adult_CO,0.00658582564267856,0.000108104651468158,0.163499251924573,Only_Cis
CG8311,50.8516,80.9469333333333,38.7997,254.671666666667,0.6282091028994,-0.670683246751554,0.152351855059056,-2.71452102828465,Adult_CO,0.167718694591383,0.00100998693347527,0.0148017180038418,Compensating
CG8314,34.3223666666667,64.6506333333333,14.87348,40.491,0.530889882529278,-0.913515447424441,0.367328063833245,-1.44485897282708,Adult_CO,1.18953407223727e-08,0.935043397946961,1,Ambiguous
CG8320,43.2266333333333,173.026,12.6754333333333,143.908233333333,0.249827390585842,-2.00099643501099,0.0880799795234325,-3.50504205626579,Adult_CO,2.63971435479556e-06,0.763104050454958,1,Ambiguous
CG8321,58.7613333333333,102.9973,31.9607,310.046,0.570513341250887,-0.809667471070257,0.10308373885461,-3.27811132497551,Adult_CO,0.0019780732118946,0.00187125223343953,0.459243599882416,Only_Cis
CG8323,11.1682,55.4085666666667,8.23439,112.422066666667,0.201560904212269,-2.31071226145064,0.0732453260370118,-3.77111948919365,Adult_CO,3.8969544679611e-08,1.68792073481448e-05,0.945560929371477,Only_Cis
CG8326,16.2832333333333,24.9856333333333,5.73801333333333,38.1963666666667,0.651703859749915,-0.617711555471532,0.15022408369843,-2.73481197280099,Adult_CO,0.756856137163181,1,1,Conserved
CG8331,201.571,482.567333333333,10.0407666666667,77.8121,0.417705440585758,-1.25944216025672,0.129038639718347,-2.95412495960369,Adult_CO,2.8336610766808e-06,0.682083422629479,1,Ambiguous
CG8343,219.079,310.831333333333,52.2242666666667,429.756333333333,0.704816332207554,-0.504680739695656,0.121520646688502,-3.04072664241817,Adult_CO,1,1.18037317809554e-10,1,Ambiguous
CG8360,25.4354666666667,207.698333333333,21.5232,329.240333333333,0.122463512999799,-3.02957612080433,0.0653723093908938,-3.9351765259799,Adult_CO,0.980965353450209,4.78353417891811e-09,1,Ambiguous
CG8368,17.8257,36.4662,5.44748,68.0353666666667,0.488828024613806,-1.0326010973486,0.0800683701261006,-3.64262375081391,Adult_CO,0.382697612691902,2.41444830150077e-05,0.00743414045066417,Compensating
CG8370,5.83425,8.32135,0.497062,7.60150666666667,0.70111824390054,-0.512270318978018,0.0653900544203446,-3.9347849658184,Adult_CO,0.675739704400674,0.646499128109933,1,Conserved
CG8372,51.9322,78.4273,7.82727333333333,107.2619,0.662169937481337,-0.594726581028167,0.0729734813606682,-3.77648390742821,Adult_CO,0.143220577975888,1,1,Conserved
CG8388,3.08799666666667,6.22362333333333,1.39598333333333,13.5618066666667,0.496173531896446,-1.0110833173761,0.102934975015499,-3.28019483366478,Adult_CO,0.472260139817869,1,1,Conserved
CG8389,6.18481666666667,25.4602333333333,5.47534666666667,105.002566666667,0.24292068901225,-2.04144272856819,0.0521448931044077,-4.26133022281525,Adult_CO,0.770318970777038,0.852386212758228,1,Conserved
CG8397,107.083133333333,214.923333333333,315.862333333333,267.612333333333,0.498238754137574,-1.00509085285976,1.18029811712602,0.239151298382779,Adult_CO,5.43071880525927e-05,0.491732250787518,0.00419495064253383,Only_Trans
CG8398,1.62920666666667,4.48674333333333,0.738656666666667,4.23532333333333,0.363115779645122,-1.46149846929038,0.174404038163783,-2.5194946501199,Adult_CO,0.00303791211929115,0.710338479295824,0.780233524111065,Ambiguous
CG8399,28.054,40.0163333333333,19.6595666666667,72.0157333333333,0.701063739779663,-0.512382476780431,0.272989893787239,-1.87308055199466,Adult_CO,1,0.0105469676524401,0.0606039400421209,Ambiguous
CG8401,0.736615666666667,1.20502066666667,0.506813333333333,2.85056333333333,0.611289146944799,-0.710073141702339,0.177794385275524,-2.49171833012947,Adult_CO,0.114218375918691,1,1,Conserved
CG8405,11.739,16.7146666666667,11.3108,38.2578333333333,0.702317343910497,-0.509805031544987,0.295646661581811,-1.75805410848854,Adult_CO,0.841856878444675,0.634014388844236,1,Conserved
CG8414,12.3415,23.5808666666667,15.1895666666667,116.578,0.523369248937589,-0.934098934942672,0.130295317610281,-2.94014285581483,Adult_CO,0.211654294015962,0.0149764305634663,0.338493005540434,Ambiguous
CG8419,0.954346333333333,1.79722666666667,0.705564333333333,4.22158333333333,0.531010817957955,-0.913186842416659,0.167132829199275,-2.58093295112875,Adult_CO,0.00715731923443949,0.926950510337279,1,Ambiguous
CG8435,12.4981333333333,17.9095666666667,4.33396666666667,25.04041,0.69784679149988,-0.519017759605567,0.173078934953051,-2.53049794665924,Adult_CO,1,0.8574197453327,1,Conserved
CG8441,25.4282666666667,41.0965,17.6925333333333,76.4848333333333,0.618745320110505,-0.692582386612036,0.231320816571641,-2.11203299487372,Adult_CO,0.225182548983461,2.579409301079e-06,0.000306226439801686,Compensating
CG8460,25.8941333333333,38.5040333333333,8.42233,81.3159,0.672504447434396,-0.572384286295675,0.103575449529853,-3.27124601308743,Adult_CO,1,7.75987476762597e-05,0.000190859934755684,Compensating
CG8468,9.62944333333333,25.4089666666667,11.6352333333333,13.0836666666667,0.378978180446345,-1.39981330682881,0.889294548727838,-0.169266752764801,Adult_CO,0.00654854909127436,1,1,Ambiguous
CG8475,34.3215,75.2868666666667,20.0399666666667,65.8992,0.455876330942055,-1.13328558833651,0.304100313244567,-1.71738079244121,Adult_CO,0.000416842191122667,0.190945718622608,1,Ambiguous
CG8485,15.9885,44.4207333333333,0.746397666666667,8.91586,0.359933288811082,-1.47419855727672,0.0837158258374224,-3.5783558107394,Adult_CO,7.82508975212183e-05,1,1,Ambiguous
CG8498,119.702266666667,502.141,205.639333333333,57.4363333333333,0.238383775529747,-2.0686420459971,3.58030046172341,1.84008066470994,Adult_CO,8.6421166158758e-06,0.648904060323558,0.619323073831131,Ambiguous
CG8519,3.93327,7.39458333333333,0.54704,5.6773,0.531912386510975,-0.910739461859123,0.0963558211903861,-3.37548436239421,Adult_CO,0.467718396293594,1,1,Conserved
