gene_name,Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
CG15876,0.317574678511928,1,0.827512430504765,1,0.337343341189851,1,1,0.119326373909144,1,1,1,0.827078216961025,1,1,0.475296763941365,1
CG15877,5.39411641052039e-19,1,1,0.899957379096477,0.000263969674405068,1,1,0.990511802043718,1,1,0.623333368900698,1,1,1,1,1
CG15878,5.34258223652762e-05,0.083344166853177,1,0.939322243661257,0.00042565122877172,1,0.978429711827091,0.440486309963871,0.37721671270727,1,1,1,1,1,0.848719371933499,1
CG15879,1.73045626925836e-07,0.907022372059652,1,0.00166646855817444,0.0322538606324965,1,1,1,0.830965085223145,0.879098713771164,1,1,1,1,0.854167195876018,1
CG15880,0.911654491102292,1,1,0.922621484396732,1,1,1,1,1,1,1,1,0.915456339467632,1,1,1
CG15881,5.48145850898514e-22,1,1,0.00171004436951,0.0190991593481104,1,1,1,1,1,0.445226786149007,1,1,1,1,1
CG15891,3.25227297269098e-31,1,0.826885167354458,3.75452698781138e-10,1,0.874274038917233,1,0.554058262184385,0.9392340799325,1,0.996628694690337,0.778199297219989,1,1,1,1
CG15892,0.00107117619493106,1,1,0.0774230718291435,0.633888475692414,1,0.790967963236319,1,1,0.913738635461171,1,1,1,0.982918254727544,1,0.926008751483233
CG15894,7.02460060019417e-13,1,1,3.42133954915614e-09,1,1,1,1,1,1,0.96185750603245,1,0.746346466356994,1,1,0.848493252204367
CG15905,0.125888511306164,0.858359868303237,0.00116231022131836,0.660191375389728,0.00576023781544328,0.129845727303859,1,0.0575890051682524,0.791100068220628,0.0169577167922542,0.67207847901246,0.265310597518022,0.303163553278363,1,0.135949626832474,0.324116986344633
CG15908,3.9652979514708e-15,1,1,0.0384502443238718,0.00251834342859401,1,1,1,1,1,1,1,1,1,1,1
CG15912,5.27381876487909e-13,1,1,2.5792667500169e-08,0.281500780037213,1,1,1,0.676882301547218,1,0.704386930101587,0.997281119788039,1,0.97476443560313,1,1
CG15919,0.00114262270608074,0.705384051791137,0.705384051791137,0.705384051791137,0.00796044160951387,0.950442014661296,0.250925080256378,0.950442014661296,0.998741040941826,0.931002820898286,0.946675952547073,0.626097590969526,1,0.737580177828684,0.610567798784615,0.620282231526157
CG15925,5.18342999966626e-14,1,1,1,1.9933445176007e-12,0.419461689598436,1,1,1,1,1,0.776869519539442,0.669517941714045,1,1,0.770535389716825
CG15930,0.778138659235465,0.733310589358729,0.6204447289171,1,0.70848219039064,1,1,0.952883236849886,0.971598948395826,0.924367559642656,1,1,1,1,1,1
CG1598,7.88668573151623e-28,1,1,0.23084394644707,1,1,1,0.891613916042595,1,0.97417917413406,0.892588136819481,0.922584107359262,0.67361833049585,1,0.987556898207238,0.620016153589652
CG1602,5.27196506924234e-09,1,1,1,0.191174039542724,1,1,0.766380991840051,1,1,0.356683032560879,0.930668681500283,1,1,0.97310215766615,0.762495300118403
CG1603,2.4149948230028e-13,1,1,0.332197298900152,0.916016513901265,1,1,0.958841504093583,1,1,1,0.802133939300536,1,1,1,0.655488025931127
CG1607,7.17002644233783e-12,1,1,1,9.55929389878477e-08,1,1,1,0.275138500291142,0.82896634094958,1,1,1,1,0.799425600877924,0.677465795461212
CG1620,4.38678261160289e-21,1,1,0.0504152849114854,0.225226701187202,1,1,0.997419987106215,1,1,0.785407168062386,1,1,1,0.883249945150508,0.995326164147687
CG1622,5.78841109298768e-18,1,1,0.691498598761149,0.00339514702217427,1,1,0.747650570551122,1,1,0.296610802790843,0.981177013745656,1,1,0.937964014146155,1
CG1628,1.4534696902262e-14,1,1,0.00111776298762976,0.125799375371037,1,1,1,1,1,1,1,1,1,1,1
CG1632,1.88130062392054e-09,1,1,0.980597274659308,6.93393678940528e-32,1,0.743362449915423,1,1,1,6.18693333166057e-28,1,1,0.344461970547608,1,0.808679280955561
CG1635,6.64870254393339e-28,1,1,3.08235571635603e-08,2.8707940066454e-09,1,1,1,0.934608820496539,1,0.290627979543571,1,1,1,0.708389889643311,0.393200524533265
CG1636,3.90848698625682e-29,1,1,4.32762802837429e-05,4.36520773149847e-40,1,0.98088942300736,1,1,1,6.09077585519577e-34,1,1,1,1,1
