gene_name,Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
CG42684,0.946155837565623,1,1,0.955285346521237,1,1,1,1,1,1,0.745723895297516,1,1,0.126540060485082,1,0.382615493382637
CG42685,1.96352706560803e-07,1,1,1,0.0377206094674398,1,1,1,0.860001453635822,0.839592191995435,0.24652142282365,1,1,1,0.997918446223536,1
CG4269,0.00216421675607168,1,0.923297646854831,0.710338479295824,0.00476069216862235,1,0.878723306238418,1,1,0.871937138442961,1,0.783082796036163,0.997502402255809,1,0.99395040851722,0.849568459201851
CG42697,1.37225529896004e-06,1,1,1,0.372959758003065,1,1,1,0.710338479295824,1,0.710338479295824,1,1,0.935043397946961,1,1
CG42699,0.842544544337364,1,1,1,1,1,1,0.895105035974211,1,1,1,1,1,1,1,1
CG4270,0.00453512906267462,1,1,1,0.0309036205642471,1,1,1,1,1,1,1,1,1,1,1
CG42700,1,1,1,1,0.0157790922201291,1,1,0.421756128552976,1,1,0.604483959941975,0.372959758003065,1,1,0.793366052348395,0.278561082534095
CG4271,0,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.710338479295824,0.710338479295824,0.710338479295824,0.710338479295824,0.935043397946961
CG42724,0.00729404502868272,1,0.550072476973326,0.0310423019850199,0.98502862541018,1,1,1,1,0.824185340968038,0.985825281235697,1,1,0.843326798382445,1,1
CG42741,1,0.6126113092706,0.577203448563569,0.210719176676498,1,1,0.872258029153198,0.850250883557802,0.810519068429383,1,0.372959758003065,1,1,0.710338479295824,1,1
CG42747,0.00192407925948137,0.418264305715241,0.935043397946961,1,0.0404501242312378,0.748106130630469,0.744500940340616,1,0.759957033954719,0.74166389494406,1,0.955860521208789,0.716086711055757,0.986891361142237,1,1
CG42748,0.000163798203136666,1,0.80650084978658,0.667451641760753,0.317796586081613,1,1,1,1,1,1,1,1,1,1,1
CG42750,0.0038741259772339,0.884524453020599,1,0.899025098378728,0.899025098378728,0.641289299564002,1,1,1,1,1,1,1,1,1,1
CG4278,0.37788593117463,1,1,0.998281241759146,1,1,1,0.438598265609266,1,1,1,0.752982326553521,1,1,0.658941256308772,0.8154997672134
CG42784,0.53931487608124,0.920325703535543,0.843275915007146,1,1,0.665785502633721,1,0.599646617519281,0.372959758003065,0.70168840484523,1,1,0.218607918396599,1,0.894295213175207,0.993476854625302
