gene_name,Intercept,Previous,Current,Species,Stage,Generation,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Generation,Current:Generation,Species:Generation,Stage:Generation,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Generation,Previous:Species:Generation,Current:Species:Generation,Previous:Stage:Generation,Current:Stage:Generation,Species:Stage:Generation,Previous:Current:Species:Stage,Previous:Current:Species:Generation,Previous:Current:Stage:Generation,Previous:Species:Stage:Generation,Current:Species:Stage:Generation,Previous:Current:Species:Stage:Generation
AkhR,0.0363678450652073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.868321606932165
akirin,1.26769321158096e-31,1,1,0.594676697265325,1,0.0330131602835078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.461979357372626,1,1,1,1,1,1
al,0.0108015564203977,0.888077358242906,0.951505251440701,0.587604131653359,0.0147929570579794,0.304276865163688,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962679228319955,1,1
AlaRS,8.22748295388374e-40,1,1,0.553939059392842,0.100946608653602,0.684193765274339,1,1,1,1,1,1,1,0.182994651076143,4.68633429871002e-06,1,1,1,1,1,1,1,1,1,0.947398003079476,0.00999203274349014,1,1,1,1,1,1
AlaRS-m,3.99222121227165e-22,1,1,0.209078331458048,0.0797627233256618,1,1,1,1,1,1,1,1,0.35966654127799,0.000678341589958797,1,1,1,1,1,1,1,1,1,1,0.372151355596516,1,1,1,1,1,1
Alas,1.33448156379362e-30,1,1,0.542093837096461,0.0512616725180543,1.11236945306959e-06,1,1,1,1,1,1,1,1,0.00163204844060493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alc,1.35241853075305e-07,1,1,1,1,0.0351686211661865,1,1,1,1,1,1,2.20498682490388e-05,1,1,1,1,1,1,1,0.0027408438064501,0.0283153745447005,1,0.00931411494450529,1,1,1,0.126155838093155,0.180823288014384,0.426330368749469,1,0.850030453615746
Ald,7.32672802261202e-09,1,1,1,1,0.746514628202033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aldh,5.56022449494611e-26,1,1,0.644557556725045,0.035955450608955,0.0118089583697703,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aldh-III,6.40875671886717e-25,1,1,0.102004407702781,1,2.41091774120203e-09,1,1,1,1,1,1,1,1,0.0406626272632643,1,1,1,1,1,1,1,1,1,1,0.383716397491857,1,1,1,1,1,1
Alg-2,4.04442517190654e-26,1,1,1,1,0.00435268630379098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alh,0.207745837897023,1,1,0.3296932639245,1,1,1,1,1,1,1,1,1,1,0.86491106226881,0.957042934974787,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alien,1.65851434542863e-37,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00386511451338797,1,1,1,1,1,1,1,1,1,1,0.0239536606324419,1,1,1,1,1,1
ALiX,1.03064954463759e-20,1,1,1,0.787263255709255,1.03919418681661e-07,1,1,1,1,1,1,1,1,0.0205638909048561,1,1,1,1,1,1,1,1,1,1,0.484836056261239,1,1,1,1,1,1
Alk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alp1,3.56597825245437e-05,1,0.6568861179274,1,3.16902089765506e-05,1,1,1,1,1,0.889408725587251,1,1,1,1,0.528385197123696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alp4,2.46711910021541e-06,1,1,1,1,0.94208066027406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alph,3.45682919068649e-23,1,1,1,1,0.0274540755425001,1,1,1,1,1,1,1,1,0.00493817624344994,1,1,1,1,1,1,1,1,1,1,0.456010096447292,1,1,1,1,1,1
alpha-catenin-related,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alpha-Est1,9.59124490178569e-24,1,1,1.01171490141903e-06,0.419149005017108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.470374442870009,1,1,1,1,1,1
alpha-Est10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alpha-Est2,0.307261895943332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alpha-Est3,6.30975024933346e-18,1,1,0.00541124119396934,1,3.2144767587681e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.536173629928149,1,0.664692645902234,1,1,1,1,1,1
alpha-Est5,8.17243946028883e-14,1,1,0.00297842571185423,1,0.000107462670856715,1,1,1,1,1,1,0.439052426671263,1,0.149009527040588,0.22405279580686,1,1,1,1,1,1,1,0.00419949908296628,1,0.210420147781439,1,1,0.388062004143694,0.477895105083226,1,1
alpha-Est6,0.999539139660836,1,1,1,0.559082020474585,0.00441324402679747,1,1,1,1,1,1,1,1,1,0.139075403165963,1,1,1,1,1,1,1,1,0.712196924016548,1,1,1,0.944110092774901,1,1,1
alpha-Est7,1.07001329181961e-20,1,1,0.000280489228398348,0.271795179999894,1,1,1,1,1,1,0.115202182973115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alpha-Est8,2.94221183091872e-08,1,1,0.349429011397425,1,0.713345226507098,1,1,1,1,1,1,1,1,0.905626780919921,1,1,1,1,1,1,1,1,0.914608408321756,1,1,1,1,1,1,1,1
alpha-Est9,1.67555605268078e-12,1,1,0.0636901182811995,1,1,1,1,1,1,1,1,1,1,0.755968249680135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alpha-Man-Ia,4.08251259987753e-17,1,1,1,1,0.00133543666765524,1,1,1,1,1,1,1,1,0.0155930225308154,0.922751374301187,1,1,1,1,1,1,0.892445154019057,1,1,1,1,1,1,1,1,1
alpha-Man-Ib,2.30895695484023e-25,1,1,1,0.806579533588861,1,1,1,1,1,1,1,1,0.512454240597853,0.00120478090058359,1,1,1,1,1,1,1,1,1,0.932714963177236,0.648366298642763,1,1,1,1,1,1
alpha-Man-Ic,1,1,1,1,0.991158618969863,1,1,1,1,0.841602802307282,1,0.037863919520494,1,1,1,1,1,1,0.700451341299829,1,1,1,1,1,1,1,1,1,1,1,1,1
alpha-PheRS,0.0464555997093302,1,1,1,1,0.927817852643781,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.641810296681121,1,1,1,1,1,1
alpha-Spec,1.92753669782235e-05,1,1,1,1,5.11021395142676e-21,1,1,1,1,1,1,1,1,2.63458329700519e-13,1,1,1,1,1,0.664201753839436,1,1,1,1,1,1,1,1,1,1,1
alpha4GT1,3.56614572996543e-27,1,1,0.240363999185835,0.0987405445537433,0.0434267434707901,1,1,1,1,1,1,1,0.845070305442947,0.0406423860173281,1,1,1,1,0.637560713818797,1,1,1,1,1,0.215037446446481,0.450665234946331,1,1,1,1,1
alpha4GT2,2.74671978180084e-29,1,1,1,1,1,1,1,1,1,1,0.120012673440956,1,1,1,1,1,1,0.554863825898022,0.554863825898022,1,1,1,1,1,0.554863825898022,1,1,1,1,1,1
alphaKap4,1.92425131336778e-08,1,1,1,8.70642738811999e-08,0.727375066203997,1,1,1,1,1,1,1,1,1,0.859956813382524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alphaSnap,2.67363969497353e-37,1,1,0.000756947786412983,1,2.59805828286387e-08,1,1,1,1,1,1,1,1,0.00232856489184124,1,1,1,1,1,1,1,1,1,1,0.809936183988975,1,1,1,1,1,1
alphaTub84D,2.51955136286443e-52,1,1,8.50096077205443e-11,0.0053745666778282,2.88326599820045e-14,1,1,1,1,1,1,1,0.718195580533677,0.0126646578454521,1,1,1,1,1,1,1,0.14325077356603,1,1,0.131671440430736,1,0.693669567559856,1,1,0.619130938538079,1
alrm,0.721106637409917,1,1,1,1,1,1,1,1,1,1,1,0.557636606422749,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Als2,0.610452750921769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aly,0.00335668705744845,0.319039597041173,1,0.319039597041173,0.0381304153161336,0.319039597041173,1,0.853682247372624,1,0.874367267671693,1,0.935008832688043,0.853682247372624,1,0.853682247372624,0.979463508052764,1,1,1,1,1,1,1,0.0074636779362648,1,0.0907901677040989,1,1,0.188312879715244,0.524613355281516,0.938171604858437,0.312855470389435
Ama,1,1,1,1,0.0442416655452349,0.284662361072222,1,1,1,1,1,1,1,1,0.524186137098147,0.995776846897071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
amd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.579994179152603,1,1,1,1,0.744944758099,1,1,1
