Intercept,Previous,Current,Species,Stage,Generation,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Generation,Current:Generation,Species:Generation,Stage:Generation,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Generation,Previous:Species:Generation,Current:Species:Generation,Previous:Stage:Generation,Current:Stage:Generation,Species:Stage:Generation,Previous:Current:Species:Stage,Previous:Current:Species:Generation,Previous:Current:Stage:Generation,Previous:Species:Stage:Generation,Current:Species:Stage:Generation,Previous:Current:Species:Stage:Generation
Actn3,CG14609,CG14960,alphaTub84D,alpha-Est7,alpha-Est5,CG15116,CG14069,CG14300,CG15539,CG15564,Cap-D3,CG13998,CG12391,alien,Bet5,CG14300,CG17959,CG15239,CG15742,CG14451,CG13771,CG12012,CG11327,CG12682,aqrs,CG18284,CG13895,CG13008,CG13228,CG11593,CG12723
ACXE,CG14752,CG15020,aly,alpha4GT1,alpha-Est6,CG15233,CG14327,CG14317,CG15564,CG16813,Cat,CG14069,CG12395,ALiX,beta4GalNAcTA,CG14317,CG18284,CG15336,CG15756,CG14892,CG14007,CG12155,CG11349,CG12693,Arf79F,CG18446,CG14007,CG13245,CG13245,CG11857,CG12729
Acyp,CG14905,CG15084,Ance,alphaKap4,alpha-Man-Ia,CG15539,CG14329,CG14329,CG16771,CG1688,Ccp84Ab,CG14237,CG1265,alph,bic,CG14329,CG30080,CG15539,CG16813,CG14990,CG14069,CG12236,CG11539,CG12934,arg,CG18605,CG14052,CG13284,CG13252,CG11920,CG12730
Ada2a,CG14913,CG15116,Ance-4,alphaTub84D,alpha-Spec,CG15564,CG14346,CG14427,CG17127,CG16986,Ccp84Af,CG14300,CG12934,alpha-Est5,BicC,CG14346,CG30377,CG15712,CG1690,CG15116,CG14086,CG12309,CG11585,CG12942,Arp2,CG18735,CG14300,CG13287,CG13284,CG12012,CG12902
Adat1,CG14960,CG15212,AnxB9,aly,alpha4GT1,CG15579,CG14406,CG14492,CG18284,CG17343,Ccp84Ag,CG14329,CG13204,alpha-Man-Ia,blanks,CG14354,CG30429,CG16771,CG17147,CG15539,CG14237,CG12395,CG11865,CG13204,Arpc4,CG1999,CG14302,CG13430,CG13298,CG12018,CG13008
ADD1,CG15020,CG15233,ApepP,Ama,alphaSnap,CG16771,CG14455,CG14565,CG18301,CG17821,cDIP,CG14451,CG13229,alpha-Man-Ib,brv1,CG14752,CG3062,CG16800,CG17290,CG15564,CG14273,CG12607,CG12014,CG13231,Arpc5,CG30080,CG14329,CG13506,CG13331,CG12123,CG13148
ade2,CG15116,CG15330,aph-1,Amy-d,alphaTub84D,CG16781,CG14492,CG14625,CG2901,CG17959,Cdlc2,CG14647,CG13283,alpha-Spec,c(2)M,CG14905,CG31051,CG16815,CG17681,CG16704,CG14275,CG1265,CG12333,CG13245,Arr1,CG30151,CG14346,CG13590,CG13361,CG12182,CG13155
ade3,CG15212,CG15564,Apoltp,Amy-p,aly,CG16782,CG14913,CG14752,CG30039,CG18284,CG10026,CG14760,CG13500,alpha4GT1,cato,CG14960,CG31226,CG1690,CG17959,CG16771,CG14321,CG12684,CG12395,CG13284,arx,CG30265,CG14440,CG13670,CG13541,CG12309,CG13361
ade5,CG15332,CG15579,Aprt,ana2,Ama,CG17821,CG14958,CG14915,CG30080,CG2574,CG10029,CG14780,CG13877,alphaSnap,CCAP-R,CG15020,CG31418,CG18284,CG18234,CG16782,CG14329,CG13000,CG12538,CG13500,ase,CG30429,CG14528,CG13700,CG13869,CG12395,CG13502
Adf1,CG15336,CG15905,AQP,Ance,Amy-d,CG18131,CG14960,CG14958,CG3062,CG2650,CG10051,CG14892,CG13921,alphaTub84D,Ccs,CG15116,CG31659,CG18301,CG18301,CG16791,CG14440,CG13108,CG12848,CG13544,AsnRS,CG30441,CG14544,CG13771,CG13919,CG1265,CG13541
